iter	Passed	Remaining
653	1130	598
654	1131	596
655	1133	594
656	1135	592
657	1136	590
658	1138	589
659	1139	587
660	1141	585
661	1142	583
662	1144	581
663	1145	579
664	1147	577
665	1148	576
666	1150	574
667	1151	572
668	1153	570
669	1154	568
670	1156	566
671	1157	565
672	1159	563
673	1160	561
674	1162	559
675	1164	558
676	1165	556
677	1167	554
678	1169	552
679	1170	550
680	1171	548
681	1173	547
682	1174	545
683	1176	543
684	1177	541
685	1178	539
686	1180	537
687	1181	535
688	1183	534
689	1184	532
690	1185	530
691	1187	528
692	1188	526
693	1190	524
694	1191	523
695	1193	521
696	1194	519
697	1196	517
698	1197	515
699	1199	513
700	1200	512
701	1202	510
702	1203	508
703	1205	506
704	1206	504
705	1208	503
706	1209	501
707	1211	499
708	1212	497
709	1214	495
710	1215	494
711	1216	492
712	1218	490
713	1219	488
714	1221	486
715	1222	485
716	1224	483
717	1225	481
718	1227	479
719	1228	477
720	1230	476
721	1231	474
722	1233	472
723	1234	470
724	1236	468
725	1237	467
726	1239	465
727	1240	463
728	1242	461
729	1243	460
730	1245	458
731	1246	456
732	1248	454
733	1249	452
734	1251	451
735	1252	449
736	1254	447
737	1255	445
738	1257	444
739	1258	442
740	1259	440
741	1261	438
742	1262	436
743	1264	435
744	1265	433
745	1267	431
746	1269	429
747	1270	428
748	1272	426
749	1273	424
750	1275	422
751	1276	421
752	1278	419
753	1279	417
754	1280	415
755	1282	413
756	1283	412
757	1285	410
758	1286	408
759	1288	406
760	1289	405
761	1291	403
762	1292	401
763	1294	399
764	1295	398
765	1297	396
766	1298	394
767	1300	392
768	1301	391
769	1303	389
770	1304	387
771	1306	385
772	1307	384
773	1309	382
774	1310	380
775	1312	378
776	1313	377
777	1315	375
778	1316	373
779	1317	371
780	1319	369
781	1320	368
782	1321	366
783	1323	364
784	1324	362
785	1326	361
786	1327	359
787	1329	357
788	1331	355
789	1332	354
790	1334	352
791	1335	350
792	1337	349
793	1338	347
794	1340	345
795	1341	343
796	1343	342
797	1345	340
798	1347	338
799	1348	337
800	1350	335
801	1351	333
802	1353	332
803	1354	330
804	1355	328
805	1357	326
806	1359	325
807	1360	323
808	1362	321
809	1363	319
810	1365	318
811	1366	316
812	1367	314
813	1369	312
814	1370	311
815	1372	309
816	1374	307
817	1375	306
818	1376	304
819	1378	302
820	1380	300
821	1381	299
822	1383	297
823	1384	295
824	1385	293
825	1387	292
826	1389	290
827	1390	288
828	1392	287
829	1393	285
830	1395	283
831	1396	281
832	1397	280
833	1399	278
834	1400	276
835	1402	275
836	1403	273
837	1405	271
838	1406	269
839	1408	268
840	1410	266
841	1411	264
842	1412	263
843	1414	261
844	1415	259
845	1417	258
846	1419	256
847	1420	254
848	1422	252
849	1423	251
850	1425	249
851	1426	247
852	1428	246
853	1429	244
854	1430	242
855	1432	240
856	1433	239
857	1435	237
858	1437	235
859	1438	234
860	1440	232
861	1441	230
862	1442	229
863	1444	227
864	1446	225
865	1447	223
866	1448	222
867	1450	220
868	1452	218
869	1453	217
870	1455	215
871	1456	213
872	1458	212
873	1459	210
874	1461	208
875	1462	207
876	1463	205
877	1465	203
878	1467	202
879	1469	200
880	1471	198
881	1473	197
882	1474	195
883	1475	193
884	1477	191
885	1479	190
886	1480	188
887	1482	186
888	1483	185
889	1485	183
890	1486	181
891	1488	180
892	1489	178
893	1491	176
894	1492	175
895	1494	173
896	1495	171
897	1497	170
898	1498	168
899	1500	166
900	1501	164
901	1502	163
902	1504	161
903	1505	159
904	1506	158
905	1508	156
906	1509	154
907	1511	153
908	1513	151
909	1514	149
910	1515	148
911	1517	146
912	1518	144
913	1520	143
914	1521	141
915	1523	139
916	1524	137
917	1526	136
918	1528	134
919	1529	133
920	1531	131
921	1532	129
922	1534	127
923	1535	126
924	1537	124
925	1538	122
926	1540	121
927	1541	119
928	1543	117
929	1544	116
930	1546	114
931	1547	112
932	1548	111
933	1550	109
934	1551	107
935	1553	106
936	1555	104
937	1556	102
938	1558	101
939	1559	99
940	1561	97
941	1562	96
942	1564	94
943	1565	92
944	1567	91
945	1568	89
946	1569	87
947	1571	86
948	1573	84
949	1574	82
950	1575	81
951	1577	79
952	1578	77
953	1580	76
954	1581	74
955	1583	72
956	1584	71
957	1585	69
958	1587	67
959	1588	66
960	1590	64
961	1592	62
962	1593	61
963	1594	59
964	1596	57
965	1598	56
966	1599	54
967	1600	52
968	1602	51
969	1604	49
970	1605	47
971	1606	46
972	1608	44
973	1609	42
974	1611	41
975	1613	39
976	1614	38
977	1615	36
978	1617	34
979	1618	33
980	1620	31
981	1621	29
982	1623	28
983	1624	26
984	1626	24
985	1627	23
986	1629	21
987	1630	19
988	1632	18
989	1634	16
990	1635	14
991	1637	13
992	1638	11
993	1640	9
994	1641	8
995	1643	6
996	1644	4
997	1646	3
998	1647	1
999	1649	0
